county,town,precinct,office,district,party,candidate,votes
Windham,Londonderry,NA,Governor,NA,Democratic,Peter Shumlin,305
Orleans,Lowell,NA,Governor,NA,Democratic,Peter Shumlin,110
Windsor,Ludlow,NA,Governor,NA,Democratic,Peter Shumlin,384
Essex,Lunenburg,NA,Governor,NA,Democratic,Peter Shumlin,157
Caledonia,Lyndon,NA,Governor,NA,Democratic,Peter Shumlin,526
Essex,Maidstone,NA,Governor,NA,Democratic,Peter Shumlin,26
Bennington,Manchester,NA,Governor,NA,Democratic,Peter Shumlin,792
Windham,Marlboro,NA,Governor,NA,Democratic,Peter Shumlin,361
Washington,Marshfield,NA,Governor,NA,Democratic,Peter Shumlin,405
Rutland,Mendon,NA,Governor,NA,Democratic,Peter Shumlin,181
Addison,Middlebury,NA,Governor,NA,Democratic,Peter Shumlin,"1,757"
Washington,Middlesex,NA,Governor,NA,Democratic,Peter Shumlin,564
Rutland,Middletown Springs,NA,Governor,NA,Democratic,Peter Shumlin,188
Chittenden,Milton,Chittenden 9,Governor,NA,Democratic,Peter Shumlin,"1,083"
Chittenden,Milton,Grand Isle-Chittenden 1-1,Governor,NA,Democratic,Peter Shumlin,180
Addison,Monkton,NA,Governor,NA,Democratic,Peter Shumlin,489
Franklin,Montgomery,NA,Governor,NA,Democratic,Peter Shumlin,263
Washington,Montpelier,NA,Governor,NA,Democratic,Peter Shumlin,"2,812"
Washington,Moretown,NA,Governor,NA,Democratic,Peter Shumlin,429
Orleans,Morgan,NA,Governor,NA,Democratic,Peter Shumlin,84
Lamoille,Morristown,NA,Governor,NA,Democratic,Peter Shumlin,975
Rutland,Mount Holly,NA,Governor,NA,Democratic,Peter Shumlin,290
Rutland,Mount Tabor,NA,Governor,NA,Democratic,Peter Shumlin,33
Addison,New Haven,NA,Governor,NA,Democratic,Peter Shumlin,367
Caledonia,Newark,NA,Governor,NA,Democratic,Peter Shumlin,83
Orange,Newbury,NA,Governor,NA,Democratic,Peter Shumlin,380
Windham,Newfane,NA,Governor,NA,Democratic,Peter Shumlin,550
Orleans,Newport City,NA,Governor,NA,Democratic,Peter Shumlin,530
Orleans,Newport Town,NA,Governor,NA,Democratic,Peter Shumlin,179
Grand Isle,N. Hero,NA,Governor,NA,Democratic,Peter Shumlin,193
Washington,Northfield,NA,Governor,NA,Democratic,Peter Shumlin,729
