county,town,precinct,office,district,party,candidate,votes
Rutland,Hubbardton,NA,U.S. Senate,NA,Democratic,Patrick Leahy,147
Chittenden,Huntington,NA,U.S. Senate,NA,Democratic,Patrick Leahy,682
Lamoille,Hyde Park,NA,U.S. Senate,NA,Democratic,Patrick Leahy,757
Rutland,Ira,Rutland 1-1,U.S. Senate,NA,Democratic,Patrick Leahy,12
Rutland,Ira,Rutland 1-2,U.S. Senate,NA,Democratic,Patrick Leahy,87
Orleans,Irasburg,NA,U.S. Senate,NA,Democratic,Patrick Leahy,224
Grand Isle,Isle La Motte,NA,U.S. Senate,NA,Democratic,Patrick Leahy,151
Windham,Jamaica,NA,U.S. Senate,NA,Democratic,Patrick Leahy,246
Orleans,Jay,NA,U.S. Senate,NA,Democratic,Patrick Leahy,98
Chittenden,Jericho,NA,U.S. Senate,NA,Democratic,Patrick Leahy,"1,620"
Lamoille,Johnson,NA,U.S. Senate,NA,Democratic,Patrick Leahy,622
Rutland,Killington,NA,U.S. Senate,NA,Democratic,Patrick Leahy,240
Caledonia,Kirby,NA,U.S. Senate,NA,Democratic,Patrick Leahy,116
Bennington,Landgrove,NA,U.S. Senate,NA,Democratic,Patrick Leahy,62
Addison,Leicester,NA,U.S. Senate,NA,Democratic,Patrick Leahy,219
Essex,Lemington,NA,U.S. Senate,NA,Democratic,Patrick Leahy,15
Addison,Lincoln,NA,U.S. Senate,NA,Democratic,Patrick Leahy,482
Windham,Londonderry,NA,U.S. Senate,NA,Democratic,Patrick Leahy,394
Orleans,Lowell,NA,U.S. Senate,NA,Democratic,Patrick Leahy,167
Windsor,Ludlow,NA,U.S. Senate,NA,Democratic,Patrick Leahy,485
Essex,Lunenburg,NA,U.S. Senate,NA,Democratic,Patrick Leahy,214
Caledonia,Lyndon,NA,U.S. Senate,NA,Democratic,Patrick Leahy,832
Essex,Maidstone,NA,U.S. Senate,NA,Democratic,Patrick Leahy,46
Bennington,Manchester,NA,U.S. Senate,NA,Democratic,Patrick Leahy,904
Windham,Marlboro,NA,U.S. Senate,NA,Democratic,Patrick Leahy,359
Washington,Marshfield,NA,U.S. Senate,NA,Democratic,Patrick Leahy,463
Rutland,Mendon,NA,U.S. Senate,NA,Democratic,Patrick Leahy,240
Addison,Middlebury,NA,U.S. Senate,NA,Democratic,Patrick Leahy,"2,002"
Washington,Middlesex,NA,U.S. Senate,NA,Democratic,Patrick Leahy,668
Rutland,Middletown Springs,NA,U.S. Senate,NA,Democratic,Patrick Leahy,234
Chittenden,Milton,Chittenden 9,U.S. Senate,NA,Democratic,Patrick Leahy,"1,768"
Chittenden,Milton,Grand Isle-Chittenden 1-1,U.S. Senate,NA,Democratic,Patrick Leahy,254
Addison,Monkton,NA,U.S. Senate,NA,Democratic,Patrick Leahy,635
Franklin,Montgomery,NA,U.S. Senate,NA,Democratic,Patrick Leahy,327
Washington,Montpelier,NA,U.S. Senate,NA,Democratic,Patrick Leahy,"3,024"
Washington,Moretown,NA,U.S. Senate,NA,Democratic,Patrick Leahy,552
Orleans,Morgan,NA,U.S. Senate,NA,Democratic,Patrick Leahy,142
Lamoille,Morristown,NA,U.S. Senate,NA,Democratic,Patrick Leahy,"1,344"
Rutland,Mount Holly,NA,U.S. Senate,NA,Democratic,Patrick Leahy,363
Rutland,Mount Tabor,NA,U.S. Senate,NA,Democratic,Patrick Leahy,33
Addison,New Haven,NA,U.S. Senate,NA,Democratic,Patrick Leahy,534
Caledonia,Newark,NA,U.S. Senate,NA,Democratic,Patrick Leahy,111
Orange,Newbury,NA,U.S. Senate,NA,Democratic,Patrick Leahy,467
Windham,Newfane,NA,U.S. Senate,NA,Democratic,Patrick Leahy,579
Orleans,Newport City,NA,U.S. Senate,NA,Democratic,Patrick Leahy,747
Orleans,Newport Town,NA,U.S. Senate,NA,Democratic,Patrick Leahy,287
Grand Isle,N. Hero,NA,U.S. Senate,NA,Democratic,Patrick Leahy,265
Washington,Northfield,NA,U.S. Senate,NA,Democratic,Patrick Leahy,"1,072"
Essex,Norton,NA,U.S. Senate,NA,Democratic,Patrick Leahy,29
Windsor,Norwich,NA,U.S. Senate,NA,Democratic,Patrick Leahy,"1,456"
Orange,Orange,NA,U.S. Senate,NA,Democratic,Patrick Leahy,209
Addison,Orwell,NA,U.S. Senate,NA,Democratic,Patrick Leahy,262
Addison,Panton,NA,U.S. Senate,NA,Democratic,Patrick Leahy,153
Rutland,Pawlet,NA,U.S. Senate,NA,Democratic,Patrick Leahy,308
Caledonia,Peacham,NA,U.S. Senate,NA,Democratic,Patrick Leahy,268
Bennington,Peru,NA,U.S. Senate,NA,Democratic,Patrick Leahy,99
