county,town,precinct,office,district,party,candidate,votes
Bennington,Peru,NA,Secretary of State,NA,Republican,Jason Gibbs,11
Rutland,Pittsfield,NA,Secretary of State,NA,Republican,Jason Gibbs,28
Rutland,Pittsford,NA,Secretary of State,NA,Republican,Jason Gibbs,113
Washington,Plainfield,NA,Secretary of State,NA,Republican,Jason Gibbs,42
Windsor,Plymouth,NA,Secretary of State,NA,Republican,Jason Gibbs,25
Windsor,Pomfret,NA,Secretary of State,NA,Republican,Jason Gibbs,18
Rutland,Poultney,NA,Secretary of State,NA,Republican,Jason Gibbs,101
Bennington,Pownal,NA,Secretary of State,NA,Republican,Jason Gibbs,42
Rutland,Proctor,NA,Secretary of State,NA,Republican,Jason Gibbs,72
Windham,Putney,NA,Secretary of State,NA,Republican,Jason Gibbs,24
Orange,Randolph,NA,Secretary of State,NA,Republican,Jason Gibbs,166
Windsor,Reading,NA,Secretary of State,NA,Republican,Jason Gibbs,17
Bennington,Readsboro,NA,Secretary of State,NA,Republican,Jason Gibbs,13
Franklin,Richford,NA,Secretary of State,NA,Republican,Jason Gibbs,33
Chittenden,Richmond,NA,Secretary of State,NA,Republican,Jason Gibbs,94
Addison,Ripton,NA,Secretary of State,NA,Republican,Jason Gibbs,8
Windsor,Rochester,NA,Secretary of State,NA,Republican,Jason Gibbs,47
Windham,Rockingham,NA,Secretary of State,NA,Republican,Jason Gibbs,75
Washington,Roxbury,NA,Secretary of State,NA,Republican,Jason Gibbs,15
Windsor,Royalton,NA,Secretary of State,NA,Republican,Jason Gibbs,44
Bennington,Rupert,Bennington 5,Secretary of State,NA,Republican,Jason Gibbs,1
Bennington,Rupert,Rutland 8,Secretary of State,NA,Republican,Jason Gibbs,6
Rutland,Rutland City,Rutland 5-1,Secretary of State,NA,Republican,Jason Gibbs,163
Rutland,Rutland City,Rutland 5-2,Secretary of State,NA,Republican,Jason Gibbs,112
Rutland,Rutland City,Rutland 5-3,Secretary of State,NA,Republican,Jason Gibbs,68
Rutland,Rutland City,Rutland 5-4,Secretary of State,NA,Republican,Jason Gibbs,100
Rutland,Rutland Town,NA,Secretary of State,NA,Republican,Jason Gibbs,186
Caledonia,Ryegate,NA,Secretary of State,NA,Republican,Jason Gibbs,43
Franklin,Salisbury,NA,Secretary of State,NA,Republican,Jason Gibbs,28
Franklin,Sandgate,NA,Secretary of State,NA,Republican,Jason Gibbs,18
Chittenden,Searsburg,NA,Secretary of State,NA,Republican,Jason Gibbs,5
Caledonia,Shaftsbury,NA,Secretary of State,NA,Republican,Jason Gibbs,63
Addison,Sharon,NA,Secretary of State,NA,Republican,Jason Gibbs,16
Bennington,Sheffield,NA,Secretary of State,NA,Republican,Jason Gibbs,15
Bennington,Shelburne,Chittenden 5-1,Secretary of State,NA,Republican,Jason Gibbs,98
Bennington,Shelburne,Chittenden 5-2,Secretary of State,NA,Republican,Jason Gibbs,81
Bennington,Sheldon,NA,Secretary of State,NA,Republican,Jason Gibbs,45
Windsor,Shoreham,NA,Secretary of State,NA,Republican,Jason Gibbs,47
Caledonia,Shrewsbury,NA,Secretary of State,NA,Republican,Jason Gibbs,39
Chittenden,S. Burlington,Chittenden 3-10,Secretary of State,NA,Republican,Jason Gibbs,65
Chittenden,S. Burlington,Chittenden 3-7,Secretary of State,NA,Republican,Jason Gibbs,61
Chittenden,S. Burlington,Chittenden 3-8,Secretary of State,NA,Republican,Jason Gibbs,97
Chittenden,S. Burlington,Chittenden 3-9,Secretary of State,NA,Republican,Jason Gibbs,91
Franklin,S. Hero,NA,Secretary of State,NA,Republican,Jason Gibbs,38
Addison,Springfield,Windsor 1-1,Secretary of State,NA,Republican,Jason Gibbs,2
Addison,Springfield,Windsor 1-2,Secretary of State,NA,Republican,Jason Gibbs,230
Rutland,St. Albans City,NA,Secretary of State,NA,Republican,Jason Gibbs,171
Chittenden,St. Albans Town,NA,Secretary of State,NA,Republican,Jason Gibbs,239
Grand Isle,St. George,NA,Secretary of State,NA,Republican,Jason Gibbs,7
Windsor,St. Johnsbury,NA,Secretary of State,NA,Republican,Jason Gibbs,240
Bennington,Stamford,NA,Secretary of State,NA,Republican,Jason Gibbs,12
Caledonia,Stannard,NA,Secretary of State,NA,Republican,Jason Gibbs,6
Addison,Starksboro,NA,Secretary of State,NA,Republican,Jason Gibbs,53
Windsor,Stockbridge,NA,Secretary of State,NA,Republican,Jason Gibbs,23
Lamoille,Stowe,NA,Secretary of State,NA,Republican,Jason Gibbs,144
Orange,Strafford,NA,Secretary of State,NA,Republican,Jason Gibbs,19
Windham,Stratton,NA,Secretary of State,NA,Republican,Jason Gibbs,8
Rutland,Sudbury,NA,Secretary of State,NA,Republican,Jason Gibbs,20
Bennington,Sunderland,NA,Secretary of State,NA,Republican,Jason Gibbs,15
Caledonia,Sutton,NA,Secretary of State,NA,Republican,Jason Gibbs,25
Franklin,Swanton,NA,Secretary of State,NA,Republican,Jason Gibbs,203
