county,town,precinct,office,district,party,candidate,votes
Chittenden,Jericho,NA,U.S. House,NA,Democratic,Peter Welch,"2,115"
Lamoille,Johnson,NA,U.S. House,NA,Democratic,Peter Welch,946
Rutland,Killington,NA,U.S. House,NA,Democratic,Peter Welch,406
Caledonia,Kirby,NA,U.S. House,NA,Democratic,Peter Welch,168
Bennington,Landgrove,NA,U.S. House,NA,Democratic,Peter Welch,72
Addison,Leicester,NA,U.S. House,NA,Democratic,Peter Welch,310
Essex,Lemington,NA,U.S. House,NA,Democratic,Peter Welch,28
Addison,Lincoln,NA,U.S. House,NA,Democratic,Peter Welch,598
Windham,Londonderry,NA,U.S. House,NA,Democratic,Peter Welch,535
Orleans,Lowell,NA,U.S. House,NA,Democratic,Peter Welch,228
Windsor,Ludlow,NA,U.S. House,NA,Democratic,Peter Welch,696
Essex,Lunenburg,NA,U.S. House,NA,Democratic,Peter Welch,340
Caledonia,Lyndon,NA,U.S. House,NA,Democratic,Peter Welch,"1,252"
Essex,Maidstone,NA,U.S. House,NA,Democratic,Peter Welch,54
Bennington,Manchester,NA,U.S. House,NA,Democratic,Peter Welch,"1,416"
Windham,Marlboro,NA,U.S. House,NA,Democratic,Peter Welch,451
Washington,Marshfield,NA,U.S. House,NA,Democratic,Peter Welch,566
Rutland,Mendon,NA,U.S. House,NA,Democratic,Peter Welch,361
Addison,Middlebury,NA,U.S. House,NA,Democratic,Peter Welch,"2,666"
Washington,Middlesex,NA,U.S. House,NA,Democratic,Peter Welch,787
Rutland,Middletown Springs,NA,U.S. House,NA,Democratic,Peter Welch,299
Chittenden,Milton,Chittenden 10,U.S. House,NA,Democratic,Peter Welch,"2,509"
Chittenden,Milton,Grand Isle-Chittenden,U.S. House,NA,Democratic,Peter Welch,401
Addison,Monkton,NA,U.S. House,NA,Democratic,Peter Welch,784
Franklin,Montgomery,NA,U.S. House,NA,Democratic,Peter Welch,432
Washington,Montpelier,NA,U.S. House,NA,Democratic,Peter Welch,"3,760"
Washington,Moretown,NA,U.S. House,NA,Democratic,Peter Welch,717
Orleans,Morgan,NA,U.S. House,NA,Democratic,Peter Welch,192
Lamoille,Morristown,NA,U.S. House,NA,Democratic,Peter Welch,"1,866"
Rutland,Mount Holly,NA,U.S. House,NA,Democratic,Peter Welch,458
Rutland,Mount Tabor,NA,U.S. House,NA,Democratic,Peter Welch,52
Addison,New Haven,NA,U.S. House,NA,Democratic,Peter Welch,710
Caledonia,Newark,NA,U.S. House,NA,Democratic,Peter Welch,172
Orange,Newbury,NA,U.S. House,NA,Democratic,Peter Welch,664
Windham,Newfane,NA,U.S. House,NA,Democratic,Peter Welch,732
Orleans,Newport City,NA,U.S. House,NA,Democratic,Peter Welch,"1,083"
Orleans,Newport Town,NA,U.S. House,NA,Democratic,Peter Welch,433
Grand Isle,N. Hero,NA,U.S. House,NA,Democratic,Peter Welch,357
Washington,Northfield,NA,U.S. House,NA,Democratic,Peter Welch,"1,478"
Essex,Norton,NA,U.S. House,NA,Democratic,Peter Welch,53
Windsor,Norwich,NA,U.S. House,NA,Democratic,Peter Welch,"1,856"
Orange,Orange,NA,U.S. House,NA,Democratic,Peter Welch,307
Addison,Orwell,NA,U.S. House,NA,Democratic,Peter Welch,377
Addison,Panton,NA,U.S. House,NA,Democratic,Peter Welch,217
Rutland,Pawlet,NA,U.S. House,NA,Democratic,Peter Welch,481
Caledonia,Peacham,NA,U.S. House,NA,Democratic,Peter Welch,357
Bennington,Peru,NA,U.S. House,NA,Democratic,Peter Welch,149
Rutland,Pittsfield,NA,U.S. House,NA,Democratic,Peter Welch,161
Rutland,Pittsford,NA,U.S. House,NA,Democratic,Peter Welch,957
Washington,Plainfield,NA,U.S. House,NA,Democratic,Peter Welch,519
Windsor,Plymouth,NA,U.S. House,NA,Democratic,Peter Welch,197
Windsor,Pomfret,NA,U.S. House,NA,Democratic,Peter Welch,461
Rutland,Poultney,NA,U.S. House,NA,Democratic,Peter Welch,925
Bennington,Pownal,NA,U.S. House,NA,Democratic,Peter Welch,"1,055"
Rutland,Proctor,NA,U.S. House,NA,Democratic,Peter Welch,566
Windham,Putney,NA,U.S. House,NA,Democratic,Peter Welch,"1,082"
Orange,Randolph,NA,U.S. House,NA,Democratic,Peter Welch,"1,516"
Windsor,Reading,NA,U.S. House,NA,Democratic,Peter Welch,271
Bennington,Readsboro,NA,U.S. House,NA,Democratic,Peter Welch,214
Franklin,Richford,NA,U.S. House,NA,Democratic,Peter Welch,562
Chittenden,Richmond,NA,U.S. House,NA,Democratic,Peter Welch,"1,816"
Addison,Ripton,NA,U.S. House,NA,Democratic,Peter Welch,279
Windsor,Rochester,NA,U.S. House,NA,Democratic,Peter Welch,494
Windham,Rockingham,NA,U.S. House,NA,Democratic,Peter Welch,"1,577"
Washington,Roxbury,NA,U.S. House,NA,Democratic,Peter Welch,241
Windsor,Royalton,NA,U.S. House,NA,Democratic,Peter Welch,881
Bennington,Rupert,NA,U.S. House,NA,Democratic,Peter Welch,245
Rutland,Rutland City,Rutland 5-1,U.S. House,NA,Democratic,Peter Welch,"1,440"
Rutland,Rutland City,Rutland 5-2,U.S. House,NA,Democratic,Peter Welch,"1,252"
Rutland,Rutland City,Rutland 5-3,U.S. House,NA,Democratic,Peter Welch,861
Rutland,Rutland City,Rutland 5-4,U.S. House,NA,Democratic,Peter Welch,"1,188"
Rutland,Rutland Town,NA,U.S. House,NA,Democratic,Peter Welch,"1,405"
Caledonia,Ryegate,NA,U.S. House,NA,Democratic,Peter Welch,354
Franklin,Salisbury,NA,U.S. House,NA,Democratic,Peter Welch,373
Franklin,Sandgate,NA,U.S. House,NA,Democratic,Peter Welch,121
Chittenden,Searsburg,NA,U.S. House,NA,Democratic,Peter Welch,29
Caledonia,Shaftsbury,NA,U.S. House,NA,Democratic,Peter Welch,"1,234"
Addison,Sharon,NA,U.S. House,NA,Democratic,Peter Welch,512
Bennington,Sheffield,NA,U.S. House,NA,Democratic,Peter Welch,190
