county,town,precinct,office,district,party,candidate,votes
Washington,Roxbury,NA,Attorney General,NA,Democratic,William H. Sorrell,209
Windsor,Royalton,NA,Attorney General,NA,Democratic,William H. Sorrell,658
Bennington,Rupert,NA,Attorney General,NA,Democratic,William H. Sorrell,159
Rutland,Rutland City,Rutland 5-1,Attorney General,NA,Democratic,William H. Sorrell,"1,206"
Rutland,Rutland City,Rutland 5-2,Attorney General,NA,Democratic,William H. Sorrell,970
Rutland,Rutland City,Rutland 5-3,Attorney General,NA,Democratic,William H. Sorrell,684
Rutland,Rutland City,Rutland 5-4,Attorney General,NA,Democratic,William H. Sorrell,939
Rutland,Rutland Town,Elem. School,Attorney General,NA,Democratic,William H. Sorrell,845
Rutland,Rutland Town,Town Hall,Attorney General,NA,Democratic,William H. Sorrell,315
Caledonia,Ryegate,NA,Attorney General,NA,Democratic,William H. Sorrell,263
Franklin,Salisbury,NA,Attorney General,NA,Democratic,William H. Sorrell,318
Franklin,Sandgate,NA,Attorney General,NA,Democratic,William H. Sorrell,89
Chittenden,Searsburg,NA,Attorney General,NA,Democratic,William H. Sorrell,21
Caledonia,Shaftsbury,NA,Attorney General,NA,Democratic,William H. Sorrell,940
Addison,Sharon,NA,Attorney General,NA,Democratic,William H. Sorrell,358
Bennington,Sheffield,NA,Attorney General,NA,Democratic,William H. Sorrell,159
Bennington,Shelburne,Chittenden 5-1,Attorney General,NA,Democratic,William H. Sorrell,"1,555"
Bennington,Shelburne,Chittenden 5-2,Attorney General,NA,Democratic,William H. Sorrell,"1,336"
Bennington,Sheldon,NA,Attorney General,NA,Democratic,William H. Sorrell,475
Windsor,Shoreham,NA,Attorney General,NA,Democratic,William H. Sorrell,391
Caledonia,Shrewsbury,NA,Attorney General,NA,Democratic,William H. Sorrell,343
Chittenden,S. Burlington,Chittenden 3-10,Attorney General,NA,Democratic,William H. Sorrell,"1,250"
Chittenden,S. Burlington,Chittenden 3-7,Attorney General,NA,Democratic,William H. Sorrell,"1,414"
Chittenden,S. Burlington,Chittenden 3-8,Attorney General,NA,Democratic,William H. Sorrell,"1,864"
Chittenden,S. Burlington,Chittenden 3-9,Attorney General,NA,Democratic,William H. Sorrell,"1,309"
Franklin,S. Hero,NA,Attorney General,NA,Democratic,William H. Sorrell,749
Addison,Springfield,Windsor 1-1,Attorney General,NA,Democratic,William H. Sorrell,28
Addison,Springfield,Windsor 1-2,Attorney General,NA,Democratic,William H. Sorrell,"2,146"
Rutland,St. Albans City,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,667"
Chittenden,St. Albans Town,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,616"
Grand Isle,St. George,NA,Attorney General,NA,Democratic,William H. Sorrell,186
Windsor,St. Johnsbury,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,497"
Bennington,Stamford,NA,Attorney General,NA,Democratic,William H. Sorrell,177
Caledonia,Stannard,NA,Attorney General,NA,Democratic,William H. Sorrell,72
Addison,Starksboro,NA,Attorney General,NA,Democratic,William H. Sorrell,561
Windsor,Stockbridge,NA,Attorney General,NA,Democratic,William H. Sorrell,196
Lamoille,Stowe,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,472"
Orange,Strafford,NA,Attorney General,NA,Democratic,William H. Sorrell,435
Windham,Stratton,NA,Attorney General,NA,Democratic,William H. Sorrell,37
Rutland,Sudbury,NA,Attorney General,NA,Democratic,William H. Sorrell,199
Bennington,Sunderland,NA,Attorney General,NA,Democratic,William H. Sorrell,236
Caledonia,Sutton,NA,Attorney General,NA,Democratic,William H. Sorrell,195
Franklin,Swanton,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,587"
Orange,Thetford,NA,Attorney General,NA,Democratic,William H. Sorrell,927
Rutland,Tinmouth,NA,Attorney General,NA,Democratic,William H. Sorrell,167
Orange,Topsham,NA,Attorney General,NA,Democratic,William H. Sorrell,211
Windham,Townshend,NA,Attorney General,NA,Democratic,William H. Sorrell,345
Orleans,Troy,NA,Attorney General,NA,Democratic,William H. Sorrell,328
Orange,Tunbridge,NA,Attorney General,NA,Democratic,William H. Sorrell,383
Chittenden,Underhill,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,243"
Addison,Vergennes,NA,Attorney General,NA,Democratic,William H. Sorrell,711
Windham,Vernon,NA,Attorney General,NA,Democratic,William H. Sorrell,423
Orange,Vershire,NA,Attorney General,NA,Democratic,William H. Sorrell,165
Essex,Victory,NA,Attorney General,NA,Democratic,William H. Sorrell,29
Washington,Waitsfield,NA,Attorney General,NA,Democratic,William H. Sorrell,675
Caledonia,Walden,NA,Attorney General,NA,Democratic,William H. Sorrell,290
Rutland,Wallingford,NA,Attorney General,NA,Democratic,William H. Sorrell,599
Addison,Waltham,NA,Attorney General,NA,Democratic,William H. Sorrell,193
Windham,Wardsboro,NA,Attorney General,NA,Democratic,William H. Sorrell,194
Washington,Warren,NA,Attorney General,NA,Democratic,William H. Sorrell,629
Orange,Washington,NA,Attorney General,NA,Democratic,William H. Sorrell,261
Washington,Waterbury,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,721"
Caledonia,Waterford,NA,Attorney General,NA,Democratic,William H. Sorrell,303
Lamoille,Waterville,NA,Attorney General,NA,Democratic,William H. Sorrell,177
Windsor,Weathersfield,NA,Attorney General,NA,Democratic,William H. Sorrell,712
Rutland,Wells,NA,Attorney General,NA,Democratic,William H. Sorrell,209
Orange,W. Fairlee,NA,Attorney General,NA,Democratic,William H. Sorrell,122
Rutland,W. Haven,NA,Attorney General,NA,Democratic,William H. Sorrell,57
Rutland,W. Rutland,NA,Attorney General,NA,Democratic,William H. Sorrell,499
Windsor,W. Windsor,NA,Attorney General,NA,Democratic,William H. Sorrell,347
Orleans,Westfield,NA,Attorney General,NA,Democratic,William H. Sorrell,173
Chittenden,Westford,NA,Attorney General,NA,Democratic,William H. Sorrell,681
Windham,Westminster,Windham 4,Attorney General,NA,Democratic,William H. Sorrell,57
Windham,Westminster,Windham 5,Attorney General,NA,Democratic,William H. Sorrell,943
Orleans,Westmore,NA,Attorney General,NA,Democratic,William H. Sorrell,126
Windsor,Weston,NA,Attorney General,NA,Democratic,William H. Sorrell,212
Addison,Weybridge,NA,Attorney General,NA,Democratic,William H. Sorrell,376
Caledonia,Wheelock,NA,Attorney General,NA,Democratic,William H. Sorrell,165
Addison,Whiting,NA,Attorney General,NA,Democratic,William H. Sorrell,137
Windham,Whitingham,NA,Attorney General,NA,Democratic,William H. Sorrell,233
Orange,Williamstown,NA,Attorney General,NA,Democratic,William H. Sorrell,798
Chittenden,Williston,NA,Attorney General,NA,Democratic,William H. Sorrell,"3,114"
Windham,Wilmington,NA,Attorney General,NA,Democratic,William H. Sorrell,461
Windham,Windham,NA,Attorney General,NA,Democratic,William H. Sorrell,124
Windsor,Windsor,NA,Attorney General,NA,Democratic,William H. Sorrell,830
Bennington,Winhall,NA,Attorney General,NA,Democratic,William H. Sorrell,210
Chittenden,Winooski,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,612"
Lamoille,Wolcott,NA,Attorney General,NA,Democratic,William H. Sorrell,431
Washington,Woodbury,NA,Attorney General,NA,Democratic,William H. Sorrell,280
Bennington,Woodford,NA,Attorney General,NA,Democratic,William H. Sorrell,89
Windsor,Woodstock,NA,Attorney General,NA,Democratic,William H. Sorrell,"1,078"
Washington,Worcester,NA,Attorney General,NA,Democratic,William H. Sorrell,362
Addison,Addison,NA,Attorney General,NA,Republican,Dennis Carver,225
Orleans,Albany,NA,Attorney General,NA,Republican,Dennis Carver,129
Grand Isle,Alburgh,NA,Attorney General,NA,Republican,Dennis Carver,206
Windsor,Andover,NA,Attorney General,NA,Republican,Dennis Carver,103
Bennington,Arlington,NA,Attorney General,NA,Republican,Dennis Carver,327
Windham,Athens,NA,Attorney General,NA,Republican,Dennis Carver,38
Franklin,Bakersfield,NA,Attorney General,NA,Republican,Dennis Carver,127
Windsor,Baltimore,NA,Attorney General,NA,Republican,Dennis Carver,51
Windsor,Barnard,NA,Attorney General,NA,Republican,Dennis Carver,153
Caledonia,Barnet,NA,Attorney General,NA,Republican,Dennis Carver,296
Washington,Barre City,Washington 3-1,Attorney General,NA,Republican,Dennis Carver,485
Washington,Barre City,Washington 3-2,Attorney General,NA,Republican,Dennis Carver,359
Washington,Barre City,Washington 3-3,Attorney General,NA,Republican,Dennis Carver,86
Washington,Barre Town,NA,Attorney General,NA,Republican,Dennis Carver,307
Orleans,Barton,NA,Attorney General,NA,Republican,Dennis Carver,341
Lamoille,Belvidere,NA,Attorney General,NA,Republican,Dennis Carver,41
Bennington,Bennington,Bennington 2-1,Attorney General,NA,Republican,Dennis Carver,487
Bennington,Bennington,Bennington 2-1 Nb,Attorney General,NA,Republican,Dennis Carver,72
Bennington,Bennington,Bennington 2-2,Attorney General,NA,Republican,Dennis Carver,582
Bennington,Bennington,Bennington 5,Attorney General,NA,Republican,Dennis Carver,26
Rutland,Benson,NA,Attorney General,NA,Republican,Dennis Carver,133
Franklin,Berkshire,NA,Attorney General,NA,Republican,Dennis Carver,158
Washington,Berlin,NA,Attorney General,NA,Republican,Dennis Carver,320
Windsor,Bethel,NA,Attorney General,NA,Republican,Dennis Carver,280
Essex,Bloomfield,NA,Attorney General,NA,Republican,Dennis Carver,34
Chittenden,Bolton,NA,Attorney General,NA,Republican,Dennis Carver,118
Orange,Bradford,NA,Attorney General,NA,Republican,Dennis Carver,339
Orange,Braintree,NA,Attorney General,NA,Republican,Dennis Carver,176
Rutland,Brandon,NA,Attorney General,NA,Republican,Dennis Carver,542
Windham,Brattleboro,Windham 3-1,Attorney General,NA,Republican,Dennis Carver,335
Windham,Brattleboro,Windham 3-2,Attorney General,NA,Republican,Dennis Carver,223
Windham,Brattleboro,Windham 3-3,Attorney General,NA,Republican,Dennis Carver,167
Windsor,Bridgewater,NA,Attorney General,NA,Republican,Dennis Carver,154
Addison,Bridport,NA,Attorney General,NA,Republican,Dennis Carver,214
Essex,Brighton,NA,Attorney General,NA,Republican,Dennis Carver,184
Addison,Bristol,NA,Attorney General,NA,Republican,Dennis Carver,380
Orange,Brookfield,NA,Attorney General,NA,Republican,Dennis Carver,185
Windham,Brookline,NA,Attorney General,NA,Republican,Dennis Carver,77
Orleans,Brownington,NA,Attorney General,NA,Republican,Dennis Carver,118
Essex,Brunswick,NA,Attorney General,NA,Republican,Dennis Carver,18
Caledonia,Burke,NA,Attorney General,NA,Republican,Dennis Carver,227
Chittenden,Burlington,Chittenden 3-1,Attorney General,NA,Republican,Dennis Carver,581
Chittenden,Burlington,Chittenden 3-2,Attorney General,NA,Republican,Dennis Carver,300
Chittenden,Burlington,Chittenden 3-3,Attorney General,NA,Republican,Dennis Carver,274
Chittenden,Burlington,Chittenden 3-4,Attorney General,NA,Republican,Dennis Carver,159
Chittenden,Burlington,Chittenden 3-5,Attorney General,NA,Republican,Dennis Carver,431
Chittenden,Burlington,Chittenden 3-6,Attorney General,NA,Republican,Dennis Carver,58
Washington,Cabot,NA,Attorney General,NA,Republican,Dennis Carver,179
Washington,Calais,NA,Attorney General,NA,Republican,Dennis Carver,195
Lamoille,Cambridge,NA,Attorney General,NA,Republican,Dennis Carver,350
Essex,Canaan,NA,Attorney General,NA,Republican,Dennis Carver,119
Rutland,Castleton,NA,Attorney General,NA,Republican,Dennis Carver,526
Windsor,Cavendish,NA,Attorney General,NA,Republican,Dennis Carver,201
Orleans,Charleston,NA,Attorney General,NA,Republican,Dennis Carver,119
Chittenden,Charlotte,NA,Attorney General,NA,Republican,Dennis Carver,430
Orange,Chelsea,NA,Attorney General,NA,Republican,Dennis Carver,226
Windsor,Chester,NA,Attorney General,NA,Republican,Dennis Carver,434
Rutland,Chittenden,NA,Attorney General,NA,Republican,Dennis Carver,219
Rutland,Clarendon,NA,Attorney General,NA,Republican,Dennis Carver,402
Chittenden,Colchester,Chittenden 7-1,Attorney General,NA,Republican,Dennis Carver,626
Chittenden,Colchester,Chittenden 7-2,Attorney General,NA,Republican,Dennis Carver,831
Essex,Concord,NA,Attorney General,NA,Republican,Dennis Carver,165
Orange,Corinth,NA,Attorney General,NA,Republican,Dennis Carver,211
Addison,Cornwall,NA,Attorney General,NA,Republican,Dennis Carver,141
Orleans,Coventry,NA,Attorney General,NA,Republican,Dennis Carver,97
Orleans,Craftsbury,NA,Attorney General,NA,Republican,Dennis Carver,131
Rutland,Danby,NA,Attorney General,NA,Republican,Dennis Carver,248
Caledonia,Danville,NA,Attorney General,NA,Republican,Dennis Carver,413
Orleans,Derby,NA,Attorney General,NA,Republican,Dennis Carver,526
Bennington,Dorset,NA,Attorney General,NA,Republican,Dennis Carver,379
Windham,Dover,NA,Attorney General,NA,Republican,Dennis Carver,239
Windham,Dummerston,NA,Attorney General,NA,Republican,Dennis Carver,189
Washington,Duxbury,NA,Attorney General,NA,Republican,Dennis Carver,119
Essex,E. Haven,NA,Attorney General,NA,Republican,Dennis Carver,58
