county,town,precinct,office,district,party,candidate,votes
Rutland,Pittsford,NA,President,NA,Republican,John McCain,196
Washington,Plainfield,NA,President,NA,Republican,John McCain,46
Windsor,Plymouth,NA,President,NA,Republican,John McCain,36
Windsor,Pomfret,NA,President,NA,Republican,John McCain,39
Rutland,Poultney,NA,President,NA,Republican,John McCain,141
Bennington,Pownal,NA,President,NA,Republican,John McCain,151
Rutland,Proctor,NA,President,NA,Republican,John McCain,86
Windham,Putney,NA,President,NA,Republican,John McCain,62
Orange,Randolph,NA,President,NA,Republican,John McCain,240
Windsor,Reading,NA,President,NA,Republican,John McCain,38
Bennington,Readsboro,NA,President,NA,Republican,John McCain,64
Franklin,Richford,NA,President,NA,Republican,John McCain,93
Chittenden,Richmond,NA,President,NA,Republican,John McCain,199
Addison,Ripton,NA,President,NA,Republican,John McCain,15
Windsor,Rochester,NA,President,NA,Republican,John McCain,29
Windham,Rockingham,NA,President,NA,Republican,John McCain,191
Washington,Roxbury,NA,President,NA,Republican,John McCain,25
Windsor,Royalton,NA,President,NA,Republican,John McCain,127
Bennington,Rupert,NA,President,NA,Republican,John McCain,51
Rutland,Rutland City,Rutland Ward 1,President,NA,Republican,John McCain,253
Rutland,Rutland City,Rutland Ward 2,President,NA,Republican,John McCain,243
Rutland,Rutland City,Rutland Ward 3,President,NA,Republican,John McCain,134
Rutland,Rutland City,Rutland Ward 4,President,NA,Republican,John McCain,199
Rutland,Rutland Town,NA,President,NA,Republican,John McCain,287
Caledonia,Ryegate,NA,President,NA,Republican,John McCain,49
Franklin,Salisbury,NA,President,NA,Republican,John McCain,47
Franklin,Sandgate,NA,President,NA,Republican,John McCain,13
Chittenden,Searsburg,NA,President,NA,Republican,John McCain,9
Caledonia,Shaftsbury,NA,President,NA,Republican,John McCain,196
Addison,Sharon,NA,President,NA,Republican,John McCain,66
Bennington,Sheffield,NA,President,NA,Republican,John McCain,23
Bennington,Shelburne,NA,President,NA,Republican,John McCain,490
Bennington,Sheldon,NA,President,NA,Republican,John McCain,51
Windsor,Shoreham,NA,President,NA,Republican,John McCain,55
Caledonia,Shrewsbury,NA,President,NA,Republican,John McCain,88
Chittenden,S. Burlington,Chittenden 3-10,President,NA,Republican,John McCain,127
Chittenden,S. Burlington,Chittenden 3-7,President,NA,Republican,John McCain,168
Chittenden,S. Burlington,Chittenden 3-8,President,NA,Republican,John McCain,210
Chittenden,S. Burlington,Chittenden 3-9,President,NA,Republican,John McCain,168
Franklin,S. Hero,NA,President,NA,Republican,John McCain,131
Addison,Springfield,NA,President,NA,Republican,John McCain,509
Rutland,St. Albans City,NA,President,NA,Republican,John McCain,229
